       Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),     Re(Ap),     Im(Ap),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
  2.530e+06, -7.824e-04,  3.876e-03, -1.921e-02, -3.875e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.919e-02,  2.477e+02,  1.919e-02,  2.477e+02,        nan,        nan,        nan,        nan
  2.570e+06, -7.342e-04,  3.697e-03, -1.862e-02, -3.696e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.802e-02,  2.518e+02,  1.802e-02,  2.518e+02,        nan,        nan,        nan,        nan
  2.610e+06, -6.896e-04,  3.529e-03, -1.806e-02, -3.528e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.694e-02,  2.559e+02,  1.694e-02,  2.559e+02,        nan,        nan,        nan,        nan
  2.651e+06, -6.484e-04,  3.371e-03, -1.753e-02, -3.370e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.593e-02,  2.600e+02,  1.593e-02,  2.600e+02,        nan,        nan,        nan,        nan
  2.691e+06, -6.102e-04,  3.223e-03, -1.702e-02, -3.222e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.500e-02,  2.641e+02,  1.500e-02,  2.641e+02,        nan,        nan,        nan,        nan
  2.731e+06, -5.748e-04,  3.083e-03, -1.653e-02, -3.082e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.414e-02,  2.682e+02,  1.414e-02,  2.682e+02,        nan,        nan,        nan,        nan
  2.771e+06, -5.419e-04,  2.951e-03, -1.607e-02, -2.950e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.334e-02,  2.722e+02,  1.334e-02,  2.722e+02,        nan,        nan,        nan,        nan
  2.811e+06, -5.113e-04,  2.826e-03, -1.562e-02, -2.825e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.259e-02,  2.763e+02,  1.259e-02,  2.763e+02,        nan,        nan,        nan,        nan
  2.851e+06, -4.829e-04,  2.708e-03, -1.519e-02, -2.708e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.190e-02,  2.804e+02,  1.190e-02,  2.804e+02,        nan,        nan,        nan,        nan
  2.892e+06, -4.564e-04,  2.597e-03, -1.478e-02, -2.596e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.125e-02,  2.845e+02,  1.125e-02,  2.845e+02,        nan,        nan,        nan,        nan
  2.932e+06, -4.317e-04,  2.492e-03, -1.438e-02, -2.491e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.065e-02,  2.886e+02,  1.065e-02,  2.886e+02,        nan,        nan,        nan,        nan
  2.972e+06, -4.087e-04,  2.392e-03, -1.400e-02, -2.391e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.008e-02,  2.926e+02,  1.008e-02,  2.926e+02,        nan,        nan,        nan,        nan
  3.012e+06, -3.872e-04,  2.298e-03, -1.363e-02, -2.297e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  9.557e-03,  2.967e+02,  9.557e-03,  2.967e+02,        nan,        nan,        nan,        nan
  3.052e+06, -3.671e-04,  2.208e-03, -1.328e-02, -2.208e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  9.064e-03,  3.008e+02,  9.064e-03,  3.008e+02,        nan,        nan,        nan,        nan
  3.092e+06, -3.482e-04,  2.123e-03, -1.294e-02, -2.123e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.602e-03,  3.048e+02,  8.602e-03,  3.048e+02,        nan,        nan,        nan,        nan
  3.133e+06, -3.306e-04,  2.042e-03, -1.262e-02, -2.042e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.170e-03,  3.089e+02,  8.170e-03,  3.089e+02,        nan,        nan,        nan,        nan
  3.173e+06, -3.141e-04,  1.966e-03, -1.231e-02, -1.966e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.764e-03,  3.130e+02,  7.764e-03,  3.130e+02,        nan,        nan,        nan,        nan
  3.213e+06, -2.986e-04,  1.893e-03, -1.200e-02, -1.893e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.383e-03,  3.170e+02,  7.383e-03,  3.170e+02,        nan,        nan,        nan,        nan
  3.253e+06, -2.840e-04,  1.824e-03, -1.171e-02, -1.824e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.025e-03,  3.211e+02,  7.025e-03,  3.211e+02,        nan,        nan,        nan,        nan
  3.293e+06, -2.703e-04,  1.758e-03, -1.143e-02, -1.758e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.689e-03,  3.251e+02,  6.689e-03,  3.251e+02,        nan,        nan,        nan,        nan
